feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
orig_stats6	Original	ExtraTrees	grid_best_fold7	0.72	0.6176470588235294	0.5833333333333334	0.6	0.7493489583333334
orig_stats6	Original	ExtraTrees	grid_best_fold8	0.65	0.5128205128205128	0.5555555555555556	0.5333333333333333	0.7358940972222222
orig_stats6	Original	ExtraTrees	grid_best_fold9	0.69	0.5641025641025641	0.6111111111111112	0.5866666666666667	0.7528211805555556
orig_stats6	Original	ExtraTrees	grid_best_fold10	0.68	0.55	0.6111111111111112	0.5789473684210527	0.7322048611111112
orig_stats6	Original	GaussianNB	grid_best_fold1	0.55	0.4375	1.0	0.6086956521739131	0.6538461538461539
orig_stats6	Original	GaussianNB	grid_best_fold2	0.54	0.43209876543209874	1.0	0.603448275862069	0.6615384615384615
orig_stats6	Original	GaussianNB	grid_best_fold3	0.64	0.5	0.9722222222222222	0.660377358490566	0.7124565972222223
orig_stats6	Original	GaussianNB	grid_best_fold4	0.65	0.5070422535211268	1.0	0.6728971962616822	0.7189670138888888
orig_stats6	Original	GaussianNB	grid_best_fold5	0.67	0.5217391304347826	1.0	0.6857142857142857	0.75
orig_stats6	Original	GaussianNB	grid_best_fold6	0.72	0.5625	1.0	0.72	0.78125
orig_stats6	Original	GaussianNB	grid_best_fold7	0.61	0.48	1.0	0.6486486486486487	0.6953125
orig_stats6	Original	GaussianNB	grid_best_fold8	0.57	0.4533333333333333	0.9444444444444444	0.6126126126126126	0.6519097222222222
orig_stats6	Original	GaussianNB	grid_best_fold9	0.63	0.4931506849315068	1.0	0.6605504587155964	0.7109375
orig_stats6	Original	GaussianNB	grid_best_fold10	0.6	0.47297297297297297	0.9722222222222222	0.6363636363636364	0.6812065972222222
orig_stats6	Original	HistGradientBoosting	grid_best_fold1	0.6	0.4358974358974359	0.4857142857142857	0.4594594594594595	0.5942857142857143
orig_stats6	Original	HistGradientBoosting	grid_best_fold2	0.64	0.48717948717948717	0.5428571428571428	0.5135135135135135	0.6874725274725275
orig_stats6	Original	HistGradientBoosting	grid_best_fold3	0.69	0.5675675675675675	0.5833333333333334	0.5753424657534246	0.7942708333333334
orig_stats6	Original	HistGradientBoosting	grid_best_fold4	0.7	0.6071428571428571	0.4722222222222222	0.53125	0.763454861111111
orig_stats6	Original	HistGradientBoosting	grid_best_fold5	0.68	0.5588235294117647	0.5277777777777778	0.5428571428571428	0.7291666666666667
orig_stats6	Original	HistGradientBoosting	grid_best_fold6	0.66	0.5384615384615384	0.3888888888888889	0.45161290322580644	0.7491319444444444
orig_stats6	Original	HistGradientBoosting	grid_best_fold7	0.68	0.5526315789473685	0.5833333333333334	0.5675675675675675	0.7100694444444444
orig_stats6	Original	HistGradientBoosting	grid_best_fold8	0.65	0.5135135135135135	0.5277777777777778	0.5205479452054794	0.7356770833333334
orig_stats6	Original	HistGradientBoosting	grid_best_fold9	0.68	0.5526315789473685	0.5833333333333334	0.5675675675675675	0.77734375
orig_stats6	Original	HistGradientBoosting	grid_best_fold10	0.69	0.5555555555555556	0.6944444444444444	0.6172839506172839	0.73828125
orig_stats7	Original	DT	grid_best_fold1	0.66	0.5079365079365079	0.9142857142857143	0.6530612244897959	0.7138461538461538
orig_stats7	Original	DT	grid_best_fold2	0.55	0.4107142857142857	0.6571428571428571	0.5054945054945055	0.6672527472527472
orig_stats7	Original	DT	grid_best_fold3	0.64	0.0	0.0	0.0	0.75
orig_stats7	Original	DT	grid_best_fold4	0.66	0.5208333333333334	0.6944444444444444	0.5952380952380952	0.7044270833333333
orig_stats7	Original	DT	grid_best_fold5	0.6	0.46	0.6388888888888888	0.5348837209302325	0.6547309027777777
orig_stats7	Original	DT	grid_best_fold6	0.66	0.6	0.16666666666666666	0.2608695652173913	0.7322048611111112
orig_stats7	Original	DT	grid_best_fold7	0.7	0.6	0.5	0.5454545454545454	0.7352430555555556
orig_stats7	Original	DT	grid_best_fold8	0.6	0.46153846153846156	0.6666666666666666	0.5454545454545454	0.6668836805555556
orig_stats7	Original	DT	grid_best_fold9	0.66	0.5384615384615384	0.3888888888888889	0.45161290322580644	0.685546875
orig_stats7	Original	DT	grid_best_fold10	0.57	0.4146341463414634	0.4722222222222222	0.44155844155844154	0.5922309027777778
orig_stats7	Original	RF	grid_best_fold1	0.63	0.47058823529411764	0.45714285714285713	0.463768115942029	0.669010989010989
orig_stats7	Original	RF	grid_best_fold2	0.63	0.4666666666666667	0.4	0.4307692307692308	0.6562637362637362
orig_stats7	Original	RF	grid_best_fold3	0.7	0.6363636363636364	0.3888888888888889	0.4827586206896552	0.8107638888888888
orig_stats7	Original	RF	grid_best_fold4	0.66	0.5416666666666666	0.3611111111111111	0.43333333333333335	0.7415364583333333
orig_stats7	Original	RF	grid_best_fold5	0.69	0.5925925925925926	0.4444444444444444	0.5079365079365079	0.7530381944444444
orig_stats7	Original	RF	grid_best_fold6	0.7	0.6071428571428571	0.4722222222222222	0.53125	0.775390625
orig_stats7	Original	RF	grid_best_fold7	0.64	0.5	0.5555555555555556	0.5263157894736842	0.6697048611111112
orig_stats7	Original	RF	grid_best_fold8	0.57	0.40540540540540543	0.4166666666666667	0.410958904109589	0.6688368055555556
orig_stats7	Original	RF	grid_best_fold9	0.63	0.4888888888888889	0.6111111111111112	0.5432098765432098	0.7144097222222222
orig_stats7	Original	RF	grid_best_fold10	0.62	0.4782608695652174	0.6111111111111112	0.5365853658536586	0.6827256944444444
orig_stats7	Original	KNN	grid_best_fold1	0.62	0.45454545454545453	0.42857142857142855	0.4411764705882353	0.5758241758241759
orig_stats7	Original	KNN	grid_best_fold2	0.67	0.5277777777777778	0.5428571428571428	0.5352112676056338	0.6406593406593406
orig_stats7	Original	KNN	grid_best_fold3	0.62	0.4583333333333333	0.3055555555555556	0.36666666666666664	0.5512152777777778
orig_stats7	Original	KNN	grid_best_fold4	0.63	0.4838709677419355	0.4166666666666667	0.44776119402985076	0.5833333333333334
orig_stats7	Original	KNN	grid_best_fold5	0.6	0.4411764705882353	0.4166666666666667	0.42857142857142855	0.5598958333333334
orig_stats7	Original	KNN	grid_best_fold6	0.62	0.4666666666666667	0.3888888888888889	0.42424242424242425	0.6631944444444444
orig_stats7	Original	KNN	grid_best_fold7	0.54	0.38095238095238093	0.4444444444444444	0.41025641025641024	0.6019965277777777
orig_stats7	Original	KNN	grid_best_fold8	0.64	0.5	0.4444444444444444	0.47058823529411764	0.6666666666666667
orig_stats7	Original	KNN	grid_best_fold9	0.64	0.5	0.5555555555555556	0.5263157894736842	0.6215277777777778
orig_stats7	Original	KNN	grid_best_fold10	0.64	0.5	0.5555555555555556	0.5263157894736842	0.7300347222222223
orig_stats7	Original	LR	grid_best_fold1	0.6	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.6703296703296703
orig_stats7	Original	LR	grid_best_fold2	0.58	0.4	0.4	0.4	0.6369230769230769
orig_stats7	Original	LR	grid_best_fold3	0.66	0.5333333333333333	0.4444444444444444	0.48484848484848486	0.7248263888888888
orig_stats7	Original	LR	grid_best_fold4	0.69	0.5806451612903226	0.5	0.5373134328358209	0.75390625
orig_stats7	Original	LR	grid_best_fold5	0.69	0.5714285714285714	0.5555555555555556	0.5633802816901409	0.7608506944444444
orig_stats7	Original	LR	grid_best_fold6	0.68	0.5666666666666667	0.4722222222222222	0.5151515151515151	0.7964409722222222
orig_stats7	Original	LR	grid_best_fold7	0.63	0.4878048780487805	0.5555555555555556	0.5194805194805194	0.6940104166666666
orig_stats7	Original	LR	grid_best_fold8	0.6	0.4473684210526316	0.4722222222222222	0.4594594594594595	0.6870659722222223
orig_stats7	Original	LR	grid_best_fold9	0.67	0.5405405405405406	0.5555555555555556	0.547945205479452	0.7178819444444444
orig_stats7	Original	LR	grid_best_fold10	0.62	0.47619047619047616	0.5555555555555556	0.5128205128205128	0.7092013888888888
orig_stats7	Original	SVC	grid_best_fold1	0.58	0.37037037037037035	0.2857142857142857	0.3225806451612903	0.6514285714285715
orig_stats7	Original	SVC	grid_best_fold2	0.61	0.43333333333333335	0.37142857142857144	0.4	0.6232967032967033
orig_stats7	Original	SVC	grid_best_fold3	0.63	0.42857142857142855	0.08333333333333333	0.13953488372093023	0.6558159722222222
orig_stats7	Original	SVC	grid_best_fold4	0.65	0.52	0.3611111111111111	0.4262295081967213	0.7365451388888888
orig_stats7	Original	SVC	grid_best_fold5	0.67	0.5652173913043478	0.3611111111111111	0.4406779661016949	0.7630208333333334
orig_stats7	Original	SVC	grid_best_fold6	0.65	0.5217391304347826	0.3333333333333333	0.4067796610169492	0.7777777777777778
orig_stats7	Original	SVC	grid_best_fold7	0.61	0.4482758620689655	0.3611111111111111	0.4	0.642578125
orig_stats7	Original	SVC	grid_best_fold8	0.64	0.5	0.4166666666666667	0.45454545454545453	0.7000868055555556
orig_stats7	Original	SVC	grid_best_fold9	0.66	0.5294117647058824	0.5	0.5142857142857142	0.7345920138888888
orig_stats7	Original	SVC	grid_best_fold10	0.66	0.5263157894736842	0.5555555555555556	0.5405405405405406	0.6879340277777778
orig_stats7	Original	AdaBoost	grid_best_fold1	0.54	0.34285714285714286	0.34285714285714286	0.34285714285714286	0.6035164835164835
orig_stats7	Original	AdaBoost	grid_best_fold2	0.52	0.35555555555555557	0.45714285714285713	0.4	0.570989010989011
orig_stats7	Original	AdaBoost	grid_best_fold3	0.63	0.4838709677419355	0.4166666666666667	0.44776119402985076	0.6957465277777778
orig_stats7	Original	AdaBoost	grid_best_fold4	0.65	0.5172413793103449	0.4166666666666667	0.46153846153846156	0.7330729166666667
orig_stats7	Original	AdaBoost	grid_best_fold5	0.61	0.45714285714285713	0.4444444444444444	0.4507042253521127	0.693142361111111
orig_stats7	Original	AdaBoost	grid_best_fold6	0.7	0.6153846153846154	0.4444444444444444	0.5161290322580645	0.7769097222222222
orig_stats7	Original	AdaBoost	grid_best_fold7	0.64	0.5	0.5277777777777778	0.5135135135135135	0.7152777777777778
orig_stats7	Original	AdaBoost	grid_best_fold8	0.66	0.5294117647058824	0.5	0.5142857142857142	0.701388888888889
orig_stats7	Original	AdaBoost	grid_best_fold9	0.63	0.4888888888888889	0.6111111111111112	0.5432098765432098	0.6987847222222222
orig_stats7	Original	AdaBoost	grid_best_fold10	0.59	0.43902439024390244	0.5	0.4675324675324675	0.6701388888888888
orig_stats7	Original	GradientBoosting	grid_best_fold1	0.62	0.4482758620689655	0.37142857142857144	0.40625	0.6457142857142857
orig_stats7	Original	GradientBoosting	grid_best_fold2	0.61	0.4473684210526316	0.4857142857142857	0.4657534246575342	0.6360439560439559
orig_stats7	Original	GradientBoosting	grid_best_fold3	0.69	0.6086956521739131	0.3888888888888889	0.4745762711864407	0.7504340277777778
orig_stats7	Original	GradientBoosting	grid_best_fold4	0.65	0.52	0.3611111111111111	0.4262295081967213	0.7074652777777778
orig_stats7	Original	GradientBoosting	grid_best_fold5	0.62	0.47058823529411764	0.4444444444444444	0.45714285714285713	0.7131076388888888
orig_stats7	Original	GradientBoosting	grid_best_fold6	0.68	0.5666666666666667	0.4722222222222222	0.5151515151515151	0.7682291666666667
orig_stats7	Original	GradientBoosting	grid_best_fold7	0.61	0.4594594594594595	0.4722222222222222	0.4657534246575342	0.6796875
orig_stats7	Original	GradientBoosting	grid_best_fold8	0.68	0.5526315789473685	0.5833333333333334	0.5675675675675675	0.7274305555555556
orig_stats7	Original	GradientBoosting	grid_best_fold9	0.65	0.5116279069767442	0.6111111111111112	0.5569620253164557	0.7170138888888888
orig_stats7	Original	GradientBoosting	grid_best_fold10	0.65	0.5135135135135135	0.5277777777777778	0.5205479452054794	0.6610243055555556
orig_stats7	Original	ExtraTrees	grid_best_fold1	0.58	0.4186046511627907	0.5142857142857142	0.46153846153846156	0.6791208791208792
orig_stats7	Original	ExtraTrees	grid_best_fold2	0.6	0.41935483870967744	0.37142857142857144	0.3939393939393939	0.6551648351648351
orig_stats7	Original	ExtraTrees	grid_best_fold3	0.67	0.5714285714285714	0.3333333333333333	0.42105263157894735	0.75390625
orig_stats7	Original	ExtraTrees	grid_best_fold4	0.7	0.625	0.4166666666666667	0.5	0.7569444444444444
orig_stats7	Original	ExtraTrees	grid_best_fold5	0.62	0.4642857142857143	0.3611111111111111	0.40625	0.7137586805555556
orig_stats7	Original	ExtraTrees	grid_best_fold6	0.64	0.5	0.4166666666666667	0.45454545454545453	0.7265625
orig_stats7	Original	ExtraTrees	grid_best_fold7	0.63	0.48717948717948717	0.5277777777777778	0.5066666666666667	0.6870659722222221
orig_stats7	Original	ExtraTrees	grid_best_fold8	0.63	0.4864864864864865	0.5	0.4931506849315068	0.7076822916666666
orig_stats7	Original	ExtraTrees	grid_best_fold9	0.63	0.4883720930232558	0.5833333333333334	0.5316455696202531	0.7083333333333334
orig_stats7	Original	ExtraTrees	grid_best_fold10	0.67	0.5384615384615384	0.5833333333333334	0.56	0.7044270833333334
orig_stats7	Original	GaussianNB	grid_best_fold1	0.55	0.4375	1.0	0.6086956521739131	0.6538461538461539
orig_stats7	Original	GaussianNB	grid_best_fold2	0.54	0.43209876543209874	1.0	0.603448275862069	0.6514285714285715
orig_stats7	Original	GaussianNB	grid_best_fold3	0.64	0.5	1.0	0.6666666666666666	0.7105034722222222
orig_stats7	Original	GaussianNB	grid_best_fold4	0.64	0.5	1.0	0.6666666666666666	0.71875
orig_stats7	Original	GaussianNB	grid_best_fold5	0.67	0.5217391304347826	1.0	0.6857142857142857	0.7578125
orig_stats7	Original	GaussianNB	grid_best_fold6	0.71	0.5555555555555556	0.9722222222222222	0.7070707070707071	0.7764756944444444
orig_stats7	Original	GaussianNB	grid_best_fold7	0.61	0.48	1.0	0.6486486486486487	0.7109375
orig_stats7	Original	GaussianNB	grid_best_fold8	0.57	0.4533333333333333	0.9444444444444444	0.6126126126126126	0.6501736111111112
orig_stats7	Original	GaussianNB	grid_best_fold9	0.62	0.4857142857142857	0.9444444444444444	0.6415094339622641	0.6959635416666666
orig_stats7	Original	GaussianNB	grid_best_fold10	0.6	0.47297297297297297	0.9722222222222222	0.6363636363636364	0.6864149305555556
orig_stats7	Original	HistGradientBoosting	grid_best_fold1	0.62	0.45454545454545453	0.42857142857142855	0.4411764705882353	0.6703296703296703
orig_stats7	Original	HistGradientBoosting	grid_best_fold2	0.64	0.4857142857142857	0.4857142857142857	0.4857142857142857	0.6338461538461538
orig_stats7	Original	HistGradientBoosting	grid_best_fold3	0.65	0.5263157894736842	0.2777777777777778	0.36363636363636365	0.7552083333333333
orig_stats7	Original	HistGradientBoosting	grid_best_fold4	0.67	0.56	0.3888888888888889	0.45901639344262296	0.7352430555555556
orig_stats7	Original	HistGradientBoosting	grid_best_fold5	0.63	0.4838709677419355	0.4166666666666667	0.44776119402985076	0.7269965277777778
orig_stats7	Original	HistGradientBoosting	grid_best_fold6	0.68	0.5714285714285714	0.4444444444444444	0.5	0.7526041666666667
orig_stats7	Original	HistGradientBoosting	grid_best_fold7	0.59	0.4444444444444444	0.5555555555555556	0.49382716049382713	0.7000868055555556
orig_stats7	Original	HistGradientBoosting	grid_best_fold8	0.64	0.5	0.5	0.5	0.6922743055555556
orig_stats7	Original	HistGradientBoosting	grid_best_fold9	0.62	0.4791666666666667	0.6388888888888888	0.5476190476190477	0.693142361111111
orig_stats7	Original	HistGradientBoosting	grid_best_fold10	0.6	0.45454545454545453	0.5555555555555556	0.5	0.6549479166666667
